,id,channel,publishedAt,title,description,views,likes,dislikes
0,6CsJZxfZsL0,Marques Brownlee,2022-05-12 16:01:05+00:00,"Sony WH-1000XM5 Review: Two Steps Forward, One Step Back!","Sony's MK5 noise cancelling headphones are still king of the hill, Sony WH1000XM5: https://amzn.to/3woD6Yj Sony WH1000XM4: https://amzn.to/3L88gsg  MKBHD Merch: http://shop.MKBHD.com  Tech I'm using right now: https://www.amazon.com/shop/MKBHD  Intro Track: http://youtube.com/20syl Playlist of MKBHD Intro music: https://goo.gl/B3AWV5  Headphones provided by Sony for review.  ~ http://twitter.com/MKBHD http://instagram.com/MKBHD http://facebook.com/MKBHD",4898209,166456,0
1,v6EjmbMgv80,Sony - Global,2022-05-12 16:00:27+00:00,Sony Noise Cancelling Headphones WH-1000XM5 Official Product Video,"YOUR WORLD. NOTHING ELSE. See how the WH-1000XM5 headphones combine our best ever noise cancelling with exceptional sound quality, superior noise-free calls and ultra comfortable design.  Official WEB page: https://www.sony.co.uk/electronics/headband-headphones/wh-1000xm5  #Sony #WH1000XM5 #YourWorldNothingElse",927870,22788,0
2,dEHYA-jACoU,6 Months Later,2022-11-21 15:30:15+00:00,Sony WH-1000XM5 Headphones Review - 6 Months Later,"The  Sony WH-1000XM5s are one of the best Bluetooth wireless headphones on the market, but is it a pair everyone should pick up? After spending more than 6 months with each one, we definitely have opinions on who these headphones are for and some of the shortcomings with these headphones comfort.   We'll walk you top features like battery life, hardware design, transparency mode, how good their mics and sound profile is, the EQ setting in the Sony Headphones app, their typical price, color, Atmos and spatial audio support an  who should go for the WH-1000XM5s.   🛒 Purchase Links (Affiliate Links):  AirPods Max: https://amzn.to/3ElJbZF Sony WH-1000XM5s: https://amzn.to/3Ow9uBb Sony WF-1000XM4s: https://amzn.to/3Ay5XfA  Shop all of our recommended products on Amazon: https://amzn.to/3XhxZFS  AirPods Max vs. Sony WH-1000XM5: https://www.youtube.com/watch?v=OnnHTKrTeAA Sony WH-1000XM4 Review - 6 Months Later: https://www.youtube.com/watch?v=0L4tO4HDjnU AirPods Max Review - Revisited! https://www.youtube.com/watch?v=1Btpf4QSc24 AirPods Max Review - 6 Months Later: https://www.youtube.com/watch?v=vLaRU6pA-rM&t=451s Studio Display Review - 6 Months Later: https://www.youtube.com/watch?v=XtfVWRXv9e0  💻 Signup for our Free Monthly Newsletter!   • Get a recap of everything we publish each month • Plus exclusive hot takes and recommendations  Sign up here: https://6monthslater.substack.com/?showWelcome=true  Follow Josh on:  Twitter: https://twitter.com/JoshTeder Instagram: https://www.instagram.com/joshteder/  Other helpful links:  Video production equipment we use:  https://amzn.to/3Ejc1JR  0:00 - Battery Life and Noise Cancellation 1:03 - Sony Headphones App 1:32 - Sound Quality & Profile 2:31 - Hardware design & Weight 3:01 - Comfort issues 4:12 - Adaptive Sound Control  5:27 - Transparency Mode 5:49 - Mic Quality & Atheistic 6:21 - Recommendation --------------------------------------------------------------------------------- 6 Months Later website: https://6-months-later.com 6 Months Later Amazon storefront: www.amazon.com/shop/6monthslaterreviews ––––––––––––––––––––––––––––––  Any music used is licensed from artlist.io   Any Pixel devices devices seen in our videos were provided to the channel by Google except for the Pixel 6 which the channel purchased.   Any Amazon links we provide in our descriptions are in conjunction with our Amazon partnership.  The channel receives a small percentage of revenue from any sales generated by viewers clicking the links.   #xm5 #sony  #wh1000xm5",79254,890,0
3,BdvOuKTi3CE,Digital Trends,2022-05-18 14:15:01+00:00,Sony WH-1000XM5 vs. WH-1000XM4 | Time to upgrade?,"For now, the Sony WH-1000XM5 do not replace the XM4; instead, they are considered by Sony to be an upgrade. As the more expensive model, do they pack enough improvements to be worth the added cost? We put the two head-to-head to find out whether the XM5 deserve a few more of your hard-earned money.   Sony WH-1000XM5 Headphones available here - https://bit.ly/3FRKCiQ  Sony WH-1000XM4 Headphones available here - https://bit.ly/3a7KbFk  Read more about these headphones here - https://www.digitaltrends.com/home-theater/sony-wh-1000xm5-vs-wh-1000xm4/  00:00 Intro 01:27 Unboxing Experience 01:56 Cases & Accessories 03:38 Design 04:02 Comfort 04:37 Battery 05:16 Noise-Canceling 06:20 Call Quality 07:00 Audio Quality 07:54 So which headphones are best?  SUBSCRIBE FOR THE LATEST VIDEOS http://bit.ly/DTYouTubeSub  VISIT DIGITAL TRENDS  https://www.digitaltrends.com/  In our studio: BDI Corridor Media Console: https://bit.ly/2u1IMrs   https://amzn.to/2JtnA8v KEF Q750 Floorstanding Speakers: https://amzn.to/3cCCwhb Music: https://artlist.io/Digital-142302  Digital Trends may earn a commission when you buy through links on our channels.  FOLLOW US! https://www.facebook.com/digitaltrends https://twitter.com/digitaltrends https://www.instagram.com/digitaltrends  #SonyWH1000XM5 #SonyWH1000XM4 #VS #Headphones #Review #Comparison #SonyXM5 #SonyXM4 #DigitalTrends #BoseANC700 #AppleAirPodsMax",577010,13239,0
4,zolOnpuOHaA,ShortCircuit,2022-05-12 21:15:42+00:00,I've been SPOILED! - Sony WH-1000XM5,"If you're reading this, you probably missed your chance to get a discount on all dbrand products. Use offer code FOURFOOTNINE for 15% off at http://dbrand.com/shortlinus  Sony is dominating as a 3rd party headphone for your devices, not because they look great, but because they perform just as well as first-party headphones or sometimes better. The new Sony WH-1000XM5 are no exception as they doubled the processor and microphone for better noise canceling while keeping the same battery life. I just wish I didn't try the Sennheiser IE600.   Buy the Sony WH-1000XM5  Amazon: https://geni.us/rkIkay BHPhoto: https://geni.us/k9e6j  Purchases made through some store links may provide some compensation to Linus Media Group.  Want us to unbox something specifically for a video? Make a suggestion at https://lmg.gg/7s34e  ► GET MERCH: https://lttstore.com ► AFFILIATES, SPONSORS & REFERRALS: https://lmg.gg/scsponsors ► PODCAST GEAR: https://lmg.gg/podcastgear ► SUPPORT US ON FLOATPLANE: https://www.floatplane.com/  FOLLOW US ELSEWHERE ---------------------------------------------------   Twitter: https://twitter.com/ShrtCrctYT Instagram: https://www.instagram.com/shortcircuityt TikTok: https://www.tiktok.com/@linustech Facebook: https://www.facebook.com/ShortCircuitYT  CHAPTERS --------------------------------------------------- 0:00 - How did it happen? 0:18 - Unboxing 1:38 - Exterior impressions 2:10 - Comfort impressions 3:10 - Specs and microphone locations 4:00 - Headphone buttons and ports 4:34 - Fit adjustment and sound isolation 4:55 - Sponsor - dbrand! 6:45 - Setup and App impressions 8:00 - Ambient mode impressions 9:30 - Speak-to-chat impressions 10:32 - EQ impressions 11:07 - Audio impressions 11:28 - Price thoughts and comparison 11:40 - Audio thoughts 12:52 - Final thoughts",1661202,46728,0
5,qnEKEI4ZoHo,Hardware Savvy,2022-06-16 22:52:50+00:00,Sony WH-1000XM5 Review,"Sony wh-1000xm5 headphone sound test and review. In this video, you will see how the Sony wh-1000xm5 headphones sound like, look like and come with.",3406663,130873,0
6,UZhn-Q5OhJw,Mark Ellis Reviews,2022-08-12 14:00:15+00:00,Sony WH-1000XM5 headphones - 3 months later | Mark Ellis Reviews,"I’ve been using the Sony WH-1000XM5 noise-cancelling headphones solidly for around three months now. How do they fare after extended use? And are they really worth buying over the brilliant XM4s and the competition? My findings have been… interesting. Let’s get into it!  GEAR IN THIS VIDEO ➡️  Sony XM4s: https://geni.us/B5zqp ➡️  Sony XM5s: https://geni.us/BAYYq ➡️  Bose 700: https://geni.us/OJJ20 ➡️  Benks AirPods Max stand with charger: https://geni.us/EINu   MY FREE ONLINE COURSES 🎬 Video editing basics in Final Cut Pro X (for YouTube success!): https://geni.us/QIfv8 💼 How to Find Your First Freelance Clients: https://geni.us/LuiNe  📕 How to make money on Medium: https://geni.us/dD8Z6  JOIN THE COMMUNITY! I’ve built a brilliant community on Discord. Join it and gain loads more behind-the-scenes benefits by supporting this channel on Patreon: https://www.patreon.com/markellisreviews  SOME OF MY FAVOURITE THINGS ➡️ 1Password (try it FREE + get 25% off your first year): https://geni.us/yBXf55 ➡️ Paperlike for iPad mini (and all other iPads!): https://geni.us/bXXIO ➡️ Brain.fm (the BEST app for productivity - get 20% off with code markellis): https://geni.us/YIzf4c ➡️ TextExpander (get 20% off!): https://geni.us/Lqep  ➡️  IQUNIX F96 Coral Sea Wireless Mechanical Keyboard: https://geni.us/0WseMl ➡️  Bose QC 45 noise-cancelling headphones: https://geni.us/VdMIIH  ➡️  Logitech MX Master 3 mouse: https://geni.us/pyoR  ➡️  AGPTEK USB-C Docking Station & Stand: https://geni.us/bsWRKs  ➡️  Kanto YU2 3 Inch 2-Way Powered Desktop Speakers: https://geni.us/Js1V ➡️  Kanto SUB8 8-inch Powered Subwoofer: https://geni.us/yzcQ ➡️  Grid Studio dismantled iPhone wall art: https://geni.us/GtfxlPl ➡️  Inateck Electronics Accessories Travel Bag Tech Organizer: https://geni.us/h42P1B  ➡️  Inateck Laptop Case Sleeve for 16” MacBook Pro: https://geni.us/MQRgC   LISTEN TO THE EIGHT OR SIXTEEN PODCAST 🎤 Apple Podcasts: https://podcasts.apple.com/podcast/eight-or-sixteen/id1567934849 🎤 Google Podcasts: https://podcasts.google.com/feed/aHR0cHM6Ly9mZWVkLnBvZGJlYW4uY29tL21hcms1NmEvZmVlZC54bWw  JOIN THE GANG:  📧 Sign up to my newsletter and receive a behind-the-scenes video from me every week: https://markellisreviews.ck.page/newsletter   🌍 My website: https://markellisreviews.com  FOLLOW ME ON SOCIAL MEDIA 📸 Instagram (behind the scenes stuff): https://www.instagram.com/markellisreviews/ 🐦 Twitter: https://twitter.com/mellisreviews  READ ME I write every day on Medium. Enjoy those words and many more from some of the best writers on the planet: https://markellisreviews.medium.com/membership (I earn a commission if you sign up via this referral).   HIRE ME! Voiceover work, help with your own YouTube strategy - get in touch! https://markellisreviews.com/hire-me/   WHAT IS THIS CHANNEL ALL ABOUT? I have zero interest in deep spec dives or long-winded comparisons. I review laptops, smartphones, tablets, headphones and the latest tech based on real experience. I'll tell you how it'll make you feel, whether or not it's worth your time (and money) and help you find the tech you need to get stuff done.  WHO AM I? I'm a UK-based freelance marketer and broke free of a regular job many years ago. Watch my videos to find the tech you need, without the jargon.  GET IN TOUCH Email: mark@markellisreviews.com  Sponsorship opportunities: https://markellisreviews.com/sponsor/  Oh, and some of the links in this description are affiliate links from which I earn a small commission!  CHAPTERS 00:00 - Intro 00:51 - The reaction 01:31 - The case 03:04 - Sound and noise cancelling 04:08 - Durability 05:20 - What about the XM4s? 07:10 - An honourable mention 08:14 - Conclusion",282088,3733,0
7,eMqUiNx3-xo,Sony Electronics Asia Pacific,2022-05-12 16:00:12+00:00,Sony | WH-1000XM5 | Your World Starts Here | Official Product Video,"Introducing the all-new WH-1000XM5 Wireless Noise Cancelling Headphones - bringing noise cancellation and sound quality to the next level. With advancements in audio technology, smart features and an all-new design, WH-1000XM5 continues to be the industry leader in noise cancellation and will enhance your everyday listening experience with pure, immersive bliss. Learn more at https://smarturl.it/sony-wh-1000xm5  #Sony #YourWorldNothingElse #WH1000XM5",14651,265,0
8,JQ2Sq0Ii0iA,juan hernandez,2023-08-31 06:11:31+00:00,Sony WH-1000XM5 Wireless Industry Leading Headphones with Auto Noise Canceling Optimizer,,10,1,0
9,9a-3r2llDjI,Mike O'Brien,2022-06-24 14:30:37+00:00,Sony WH-1000XM5  (Problems & Best Features after 1 Month Daily Use),"SONY WH-1000XM5 👉 https://mikeobrienmedia.com/WH-1000XM5 Follow me on social media! (it's always just @mikeobrienn) Twitter: https://twitter.com/mikeobrienn Instagram: https://instagram.com/mikeobrienn TikTok: https://tiktok.com/@mikeobrienn About me: https://mikeobrienmedia.com  TOP TECH DEALS (Updated Continuously):  * Wearables: https://mikeobrienmedia.com/wearable-deals * Tablets: https://mikeobrienmedia.com/tablet-deals * Phones: https://mikeobrienmedia.com/phone-deals   Please comment below with any questions you might have.  Thank you all for watching! I appreciate you!  ADDITIONAL REVIEW NOTES: New features, new drivers, and new design A Day In The Life With Sony WF-1000XM5 Headphones   WORK: Transparency sounds a bit robotic You can connect to two devices at once, but not with LDAC My ears get hot after a bit Comfortable while wearing though - super lightweight and the softest foam They call this vegan leatherette which is a hilarious marketing term for synthetic fake leather, but regardless, its comfortable Fantastic call quality  RELAX: Still cannot play music via wired USBC playback You can use them with the cable included, even when the headphones are off. If you turn them on, you get ANC and perhaps a slightly different sound profile, but it was hard to tell App is outdated Controls are all on the right ear, so it is easy to remember everything - very intuitive MIC TEST IN WINDY/LOUD ENVIRONMENT NFC Google FastPair No-plastic packaging   WORKOUT: No water resistance rating, so I would rather not run with them in the rain Ear cups snap in and are pretty easy to replace and new ones are about $20, so this is good! They stayed on my head when lifting like benching and squatting - good They stayed on my head when running - level 2 = good They stayed on my head while doing burpees - level 3 = good Ears might get hot - if you are sweaty, they will not stay on as well. I’m not a heavy sweater Plenty loud with strong bass capabilities Great simple gestures on ear cups make switching songs easy, but if running, it takes some getting used to Sweaty hands can be problematic  TRAVEL/COMMUTE: No folding The double and triple press options for the ANC button only have one option (spotify) Battery seems to last forever Super powerful ANC blocks out everything Stylish design adds a nice flare in comparison to the fairly bland XM4s Cup hand to hear surroundings temporarily is so convenient   Timestamps: 0:00 I learned a lot this month 0:45 At Work or Home Office 3:15 Relaxing, Gaming, Watching Media 6:30 Working out, running, and gym use 8:45 Commuting and Traveling   Disclaimer: This video is purely based on my experiences, research, and opinions.  You and only you are responsible for your actions.  I made this channel to advise viewers and I truly hope to help you all out.  I love making these videos and connecting with my viewers! This channel is monetized via YouTube ads as well as some affiliate links.  If a purchase is made after clicking the link, I will receive a small commission at no extra charge to the buyer.  Thank you all for watching!",457337,8261,0
